"Enemy","Name",,,,,,,,,,,,
,"torpedo",,,,,,,,,,,,
"Properties","Image Type","Image Path","Mass","Radius","Health","Point Value","Minimum Player Score","Max Instance Per Wave",,,,,
,"Single","73",50,10,10,10,0,20,,,,,
"Behavior","Type","Speed","","","","","","","","","","",""
,"Kamikaze",5,,,,,,,,,,,
"Weapon","Type","Image Path","Damage","","","","","","","","","",""
,"SelfDestruct","63",100,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","Image Path","Image Position X","Image Position Y","Rotation","Speed","","","","","","",""
,"Jet Flame","75",-16,0,-90,-200,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
