"Enemy","Name",,,,,,,,,,,,
,"trebuchet",,,,,,,,,,,,
"Properties","Image Type","Image Path","Mass","Radius","Health","Point Value","Minimum Player Score","Maximum Player Score","Max Instance Per Wave",,,,,
,"Flipbook","85:7",50,20,100,600,5000,9000,2,,,,,
"Behavior","Type","Speed","","","","","","","","","","",""
,"Pounce and Stalk",10,,,,,,,,,,,
"Weapon","Type","Image Path","Accuracy","Damage","Distance Max","Firing Rate","","","","","","",""
,"Trebuchet","67",80,100,300,2.5,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
